district,State,Hichilema,Lungu,Regvoters,Totalvotes,Turnout,UNDP%2021,PF%2021
LUSAKA CENTRAL,LUSAKA,38835,26318,93367,66748,71,59,40
CHONGWE,LUSAKA,37995,23374,94677,63951,68,61,38
LIVINGSTONE,SOUTHERN,45368,13273,78470,59902,76,77,22
CHOMA CENTRAL,SOUTHERN,55973,4086,59565,59565,81,96,7
SOLWEZI CENTRAL,NORTHWESTERN,44946,6966,76377,56515,74,81,13
KAFUE,LUSAKA,33647,20183,78765,55554,71,62,37
SINAZONGWE,SOUTHERN,48334,1683,61656,51530,84,96,3
MALOLE,NORTHERN,11538,35042,78633,50713,64,23,71
MONZE,SOUTHERN,47427,1974,59661,50349,84,95,4
CHINGOLA,COPPERBELT,30451,18219,69793,50232,72,62,37
KALULUSHI,COPPERBELT,29139,18857,65297,49456,76,60,39
MAZABUKA,SOUTHERN,39554,5468,58954,46401,79,86,12
KASAMA CENTRAL,NORTHERN,17649,26358,69295,46334,67,39,58
KATOMBOLA,SOUTHERN,42466,1358,49926,45576,83,96,3
KWACHA,COPPERBELT,24391,18980,64145,44973,70,55,43
LUNDAZI,EASTERN,14929,24323,66972,42826,64,36,59
LUKASHYA,NORTHERN,10238,30101,64397,42610,66,25,73
CHILILABOMBWE,COPPERBELT,24913,14705,54893,40842,74,62,37
NAKONDE,MUCHINGA,18086,19735,63178,40839,65,46,51
CHINSALI,MUCHINGA,10079,26620,53782,39186,73,27,70
BANGWEULU,LUAPULA,9598,25475,57856,38909,67,25,67
CHIPANGALI,EASTERN,12965,22732,70113,38494,55,35,61
MPULUNGU,NORTHERN,19359,16252,54723,38004,69,53,45
NAMWALA,SOUTHERN,34992,1376,44566,37502,84,95,4
KATUBA,CENTRAL,24119,11903,53786,37421,70,66,33
CHASEFU,EASTERN,15551,18222,58847,37203,63,43,51
KABUSHI,COPPERBELT,16961,19176,49908,37095,74,46,52
SOLWEZI WEST,NORTHWESTERN,33301,1631,47696,36227,76,94,5
NYIMBA,EASTERN,11446,21288,53277,35100,66,34,62
NCHANGA,COPPERBELT,19045,14764,47276,34810,74,56,43
KEEMBE,CENTRAL,25064,7787,49033,34584,71,75,23
LUMEZI,EASTERN,11267,20072,53451,34104,64,34,61
WUSAKILE,COPPERBELT,17684,14698,45993,33302,72,54,45
KAESENENGWA,EASTERN,12711,17334,52697,33204,63,40,54
MKUSHI NORTH,CENTRAL,14509,16546,54487,32995,61,46,52
MBALA,NORTHERN,15477,14821,54086,32751,61,49,47
BAHATI,LUAPULA,10203,18377,47919,32497,68,32,58
MAPATIZYA,SOUTHERN,29859,620,35988,31562,88,97,2
MALAMBO,EASTERN,16169,13347,45130,31506,70,53,44
CHIKANKATA,SOUTHERN,29749,966,36812,31449,86,96,3
MPONGWE,COPPERBELT,20509,8724,44494,31178,71,68,29
PEMBA,SOUTHERN,29470,320,34403,30584,89,98,1
CHADIZA,EASTERN,16369,10754,44779,30131,67,57,38
MKAIKA,EASTERN,13004,14265,47017,29860,64,45,50
ITEZHI_TEZHI,CENTRAL,26069,2443,39641,29816,75,90,8
DUNDUMWEZI,SOUTHERN,27883,262,33197,28922,87,98,1
CHISAMBA,CENTRAL,18011,9620,40632,28903,71,64,34
LUANGENI,EASTERN,10817,15482,39883,27975,70,40,57
MBABALA,SOUTHERN,26940,363,31536,27956,89,98,1
LUBANSENSHI,NORTHERN,8907,17182,38753,27766,72,33,64
KAPUTA,NORTHERN,13207,13181,39084,27764,71,49,49
KAPOCHE,EASTERN,7141,17607,44696,27654,62,27,66
MAFINGA,MUCHINGA,9910,15408,39385,27630,70,37,58
KASEMPA,NORTHERN,24190,2060,35345,27263,77,91,8
SENGA HILL,NORTHERN,13017,10673,44543,27033,61,51,42
SHIWAN’GANDU,MUCHINGA,5513,19129,35233,26785,76,21,74
MWEMBESHI,CENTRAL,22836,2918,14729,26640,76,88,11
ISOKA,MUCHINGA,12000,12748,39050,26569,68,47,50
MAGOYE,SOUTHERN,24992,830,30849,26562,86,97,3
MSANZALA,EASTERN,8021,15688,41500,25748,62,32,63
MUFUMBWE,NORTHWESTERN,22162,2279,32070,25393,79,90,9
CHIRUNDU,LUSAKA,20543,2992,30012,24339,81,86,13
GWEEMBE,SOUTHERN,23147,416,27583,24226,88,97,2
SENANGA,WESTERN,22191,1249,33710,24169,72,93,5
LUPOSOSHI,NORTHERN,6092,16229,29587,23657,80,27,71
MUFULIRA,COPPERBELT,12594,10110,32424,23463,72,55,44
SINDA,EASTERN,10856,9811,33346,22906,69,50,46
CHAMA NORTH,MUCHINGA,8968,12062,30963,22799,74,41,55
MASAITA,COPPERBELT,12138,9499,30361,22733,75,55,43
SIAVONGA,SOUTHERN,20625,1356,26265,22615,86,93,6
LUKULU EAST,WESTERN,19016,2537,29651,22563,76,87,12
MWENSE,LUAPULA,4174,17261,31937,22441,70,19,79
BWEENGWA,SOUTHERN,21497,309,24946,22266,89,98,1
KAWAMBWA,LUAPULA,6529,14080,27885,21544,77,31,67
KAOMA CENTRAL,WESTERN,17886,2725,29611,21356,72,86,13
CHIMBAMILONGA,NORTHERN,7861,12212,28602,21264,74,38,59
NANGOMA,CENTRAL,18775,1424,26351,20855,79,92,7
ZAMBEZI EAST,NORTHWESTERN,18271,1393,26317,20351,77,92,7
MANYINGA,NORTHWESTERN,17566,1588,24984,19800,79,91,8
KABOMPO,NORTHWESTERN,17411,1490,25018,19465,78,91,8
MPOROKOSO,NORTHERN,6734,11334,25006,19022,76,36,61
LUNTE,NORTHERN,7455,9953,27462,19002,69,41,55
SESHEKE,WESTERN,15642,2548,25499,18843,74,85,14
MWANSABOMBWE,LUAPULA,4493,13274,27778,18754,68,25,73
NKEYEMA,WESTERN,15834,1305,26867,18052,67,91,7
SERENJE,CENTRAL,7085,9887,29728,18028,61,41,57
CHAMA SOUTH,MUCHINGA,6775,10059,22150,17922,81,39,58
CHITAMBO,CENTRAL,4347,12089,26599,17631,66,26,71
CHAVUMA,NORTHWESTERN,13758,2925,20597,17270,84,81,17
PAMBASHE,LUAPULA,5816,10139,20952,16992,81,35,62
VUBWI,EASTERN,4813,10421,27925,16662,81,30,66
MILENGE,LUAPULA,5163,10018,22191,16626,75,32,62
RUFUNSA,LUSAKA,8512,6973,25338,16532,65,54,44
MAMBILIMA,LUAPULA,3915,11438,23078,16142,70,25,73
KAUMBWE,EASTERN,3773,10728,30509,16122,53,25,70
CHIPILI,LUAPULA,4789,10047,19729,15871,80,31,66
IKELENGE,NORTHWESTERN,13958,1301,18441,15694,85,90,8
LUAMPA,WESTERN,11857,2831,21663,15473,71,79,19
KANKOYO,COPPERBELT,8104,6721,20498,15219,74,54,45
MOOMBA,SOUTHERN,14320,194,16895,15155,90,96,1
SOLWEZI EAST,NORTHWESTERN,11582,1575,19968,14105,71,86,12
MWANDI,WESTERN,9554,1759,14049,11651,83,83,15
MULOBEZI,WESTERN,9647,1448,14729,11572,79,85,13
FEIRA,LUSAKA,4450,6537,14288,11504,81,39,58
CHEMBE,LUAPULA,3994,6014,18594,11482,62,36,54
ZAMBEZI WEST,NORTHWESTERN,7088,1740,11676,9234,79,79,19
LUFUBU,CENTRAL,3675,2475,11411,6643,58,58,39
